Dist,Member
04 (D),"Aguiar-Curry, Cecilia M."
31 (D),"Arambula, Joaquin"
16 (D),"Bauer-Kahan, Rebecca"
37 (D),"Bennett, Steve"
24 (D),"Berman, Marc"
05 (R),"Bigelow, Frank"
50 (D),"Bloom, Richard"
76 (D),"Boerner Horvath, Tasha"
54 (D),"Bryan, Isaac G."
62 (D),"Burke, Autumn R."
57 (D),"Calderon, Lisa"
51 (D),"Carrillo, Wendy"
60 (D),"Cervantes, Sabrina"
49 (D),"Chau, Ed"
55 (R),"Chen, Phillip"
17 (D),"Chiu, David"
68 (R),"Choi, Steven S."
08 (D),"Cooley, Ken"
09 (D),"Cooper, Jim"
35 (R),"Cunningham, Jordan"
01 (R),"Dahle, Megan"
69 (D),"Daly, Tom"
73 (R),"Davies, Laurie"
12 (R),"Flora, Heath"
34 (R),"Fong, Vince"
11 (D),"Frazier, Jim"
43 (D),"Friedman, Laura"
45 (D),"Gabriel, Jesse"
03 (R),"Gallagher, James"
58 (D),"Garcia, Cristina"
56 (D),"Garcia, Eduardo"
64 (D),"Gipson, Mike A."
80 (D),"Gonzalez, Lorena"
21 (D),"Gray, Adam C."
14 (D),"Grayson, Timothy S."
41 (D),"Holden, Chris R."
44 (D),"Irwin, Jacqui"
59 (D),"Jones-Sawyer, Sr., Reginald B."
27 (D),"Kalra, Ash"
06 (R),"Kiley, Kevin"
36 (R),"Lackey, Tom"
25 (D),"Lee, Alex"
10 (D),"Levine, Marc"
28 (D),"Low, Evan"
77 (D),"Maienschein, Brian"
26 (R),"Mathis, Devon J."
42 (I),"Mayes, Chad"
07 (D),"McCarty, Kevin"
61 (D),"Medina, Jose"
22 (D),"Mullin, Kevin"
66 (D),"Muratsuchi, Al"
46 (D),"Nazarian, Adrin"
72 (R),"Nguyen, Janet"
70 (D),"O'Donnell, Patrick"
23 (R),"Patterson, Jim"
74 (D),"Petrie-Norris, Cottie"
20 (D),"Quirk, Bill"
65 (D),"Quirk-Silva, Sharon"
40 (D),"Ramos, James C."
63 (D),"Rendon, Anthony"
47 (D),"Reyes, Eloise Gómez"
39 (D),"Rivas, Luz M."
30 (D),"Rivas, Robert"
52 (D),"Rodriguez, Freddie"
48 (D),"Rubio, Blanca E."
32 (D),"Salas, Jr., Rudy"
53 (D),"Santiago, Miguel"
67 (R),"Seyarto, Kelly"
33 (R),"Smith, Thurston ""Smitty"""
29 (D),"Stone, Mark"
19 (D),"Ting, Philip Y."
18,Vacant
38 (R),"Valladares, Suzette Martinez"
13 (D),"Villapudua, Carlos"
71 (R),"Voepel, Randy"
75 (R),"Waldron, Marie"
78 (D),"Ward, Christopher M."
79 (D),"Weber, M.D., Akilah"
15 (D),"Wicks, Buffy"
02 (D),"Wood, Jim"
